Sum of civilian_deaths,country,Year,Quarter,Month,Day,Sum of fatalities,Sum of latitude,Sum of longitude,region,Sum of year
0,Afghanistan,1989,Qtr 2,May,16,3,34.531094,69.162796,Asia,1989
2,Afghanistan,1989,Qtr 2,May,18,32,33.335091,69.918411,Asia,1989
0,Afghanistan,1989,Qtr 2,May,26,12,34.428844,70.45575,Asia,1989
10,Afghanistan,1989,Qtr 2,May,27,296,67.763935,140.374161,Asia,3978
0,Afghanistan,1989,Qtr 2,May,28,0,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 2,May,31,1,34.349991,62.200001,Asia,1989
4,Afghanistan,1989,Qtr 2,June,1,12,69.062188,138.325592,Asia,3978
14,Afghanistan,1989,Qtr 2,June,3,17,68.959938,139.618546,Asia,3978
0,Afghanistan,1989,Qtr 2,June,6,0,67.763935,140.374161,Asia,3978
1,Afghanistan,1989,Qtr 2,June,13,1,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 2,June,14,448,134.37573,274.996626,Asia,7956
2,Afghanistan,1989,Qtr 2,June,21,3,101.434977,209.795787,Asia,5967
2,Afghanistan,1989,Qtr 2,June,22,2,34.531094,69.162796,Asia,1989
2,Afghanistan,1989,Qtr 2,June,23,12,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 3,July,4,255,102.993941,211.494358,Asia,5967
10,Afghanistan,1989,Qtr 3,July,5,48,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 3,July,6,4,34.349991,62.200001,Asia,1989
0,Afghanistan,1989,Qtr 3,July,12,0,34.428844,70.45575,Asia,1989
0,Afghanistan,1989,Qtr 3,July,15,48,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 3,July,22,43,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 3,July,23,180,34.395614,68.866179,Asia,1989
1,Afghanistan,1989,Qtr 3,August,16,18,31,64,Asia,1989
0,Afghanistan,1989,Qtr 3,August,22,7,35.0159,69.1741,Asia,1989
0,Afghanistan,1989,Qtr 3,August,25,200,33.335091,69.918411,Asia,1989
8,Afghanistan,1989,Qtr 3,September,5,8,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 3,September,8,13,33.335091,69.918411,Asia,1989
3,Afghanistan,1989,Qtr 3,September,11,38,173.96263199999999,338.812667,Asia,9945
0,Afghanistan,1989,Qtr 3,September,20,12,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 4,October,21,0,33.957733,67.545417,Asia,1989
19,Afghanistan,1989,Qtr 4,October,27,19,67.92190500000001,131.421631,Asia,3978
0,Afghanistan,1989,Qtr 4,October,28,16,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 4,October,29,4,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 4,October,31,200,34.531094,69.162796,Asia,1989
0,Afghanistan,1989,Qtr 4,December,2,2,68.685344,141.03275,Asia,3978
4,Afghanistan,1989,Qtr 4,December,24,4,37.114437,70.470812,Asia,1989
0,Afghanistan,1990,Qtr 1,January,1,25,33,65,Asia,1990
0,Afghanistan,1990,Qtr 1,February,1,31,34.531094,69.162796,Asia,1990
0,Afghanistan,1990,Qtr 1,February,2,3,33.335091,69.918411,Asia,1990
0,Afghanistan,1990,Qtr 1,February,20,20,33.335091,69.918411,Asia,1990
95,Afghanistan,1990,Qtr 1,March,6,108,69.062188,138.325592,Asia,3980
0,Afghanistan,1990,Qtr 1,March,13,2,33.335091,69.918411,Asia,1990
0,Afghanistan,1990,Qtr 1,March,24,39,33.335091,69.918411,Asia,1990
0,Afghanistan,1990,Qtr 2,April,1,450,34.548073,68.936374,Asia,1990
3,Afghanistan,1990,Qtr 2,April,6,20,34.183466,62.756055,Asia,1990
0,Afghanistan,1990,Qtr 2,April,9,2,66.670182,139.836822,Asia,3980
0,Afghanistan,1990,Qtr 2,April,16,3,98.999997,205.5,Asia,5970
0,Afghanistan,1990,Qtr 2,April,20,14,33.335091,69.918411,Asia,1990
0,Afghanistan,1990,Qtr 2,May,13,8,33.335091,69.918411,Asia,1990
0,Afghanistan,1990,Qtr 3,July,9,2,34.531094,69.162796,Asia,1990
0,Afghanistan,1990,Qtr 3,July,10,6,34.531094,69.162796,Asia,1990
0,Afghanistan,1990,Qtr 3,July,11,9,69.062188,138.325592,Asia,3980
0,Afghanistan,1990,Qtr 3,July,13,15,34.531094,69.162796,Asia,1990
0,Afghanistan,1990,Qtr 3,July,15,46,34.95,71.133333,Asia,1990
2,Afghanistan,1990,Qtr 3,July,20,17,69.062188,138.325592,Asia,3980
0,Afghanistan,1990,Qtr 4,October,2,95,32.62675,65.873313,Asia,1990
0,Afghanistan,1990,Qtr 4,October,5,7,34.267786,70.565751,Asia,1990
0,Afghanistan,1990,Qtr 4,October,10,271,68.87040999999999,138.319611,Asia,3980
0,Afghanistan,1990,Qtr 4,October,12,8,34.349991,62.200001,Asia,1990
0,Afghanistan,1990,Qtr 4,October,18,205,32.10368,66.905121,Asia,1990
0,Afghanistan,1990,Qtr 4,October,24,45,34.531094,69.162796,Asia,1990
0,Afghanistan,1990,Qtr 4,November,6,14,68.914435,131.417223,Asia,3980
0,Afghanistan,1990,Qtr 4,November,7,8,68.88108500000001,131.362797,Asia,3980
0,Afghanistan,1990,Qtr 4,November,14,1,33.333306,69.950037,Asia,1990
0,Afghanistan,1990,Qtr 4,November,23,3,34.531094,69.162796,Asia,1990
1,Afghanistan,1990,Qtr 4,November,27,1,34.531094,69.162796,Asia,1990
0,Afghanistan,1991,Qtr 1,January,1,25,67.557747,135.476897,Asia,3982
0,Afghanistan,1991,Qtr 1,February,17,5,32.10368,66.905121,Asia,1991
1,Afghanistan,1991,Qtr 1,March,17,2,70.451729,140.498433,Asia,3982
0,Afghanistan,1991,Qtr 1,March,26,2,36.963459,69.47648,Asia,1991
0,Afghanistan,1991,Qtr 1,March,27,3,33.335091,69.918411,Asia,1991
0,Afghanistan,1991,Qtr 1,March,28,18,33.335091,69.918411,Asia,1991
0,Afghanistan,1991,Qtr 1,March,29,1575,33.335091,69.918411,Asia,1991
0,Afghanistan,1991,Qtr 1,March,30,165,66.670182,139.836822,Asia,3982
0,Afghanistan,1991,Qtr 2,April,1,10,33.335091,69.918411,Asia,1991
0,Afghanistan,1991,Qtr 2,April,20,300,34.87455,71.146812,Asia,1991
0,Afghanistan,1991,Qtr 2,April,22,0,34.1279,69.0566,Asia,1991
0,Afghanistan,1991,Qtr 2,May,7,153,35.641366,64.279081,Asia,1991
0,Afghanistan,1991,Qtr 2,May,21,26,36.963459,69.47648,Asia,1991
0,Afghanistan,1991,Qtr 2,May,28,55,71.0647,134.4229,Asia,3982
0,Afghanistan,1991,Qtr 3,July,4,17,36.290894,64.860001,Asia,1991
20,Afghanistan,1991,Qtr 3,July,17,30,34.5,69.416667,Asia,1991
0,Afghanistan,1991,Qtr 3,July,28,24,69.112146,139.414476,Asia,3982
0,Afghanistan,1991,Qtr 3,July,30,11,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 3,August,1,100,34.395614,68.866179,Asia,1991
0,Afghanistan,1991,Qtr 3,August,2,5,34.503193,70.155296,Asia,1991
0,Afghanistan,1991,Qtr 3,August,4,50,69.17656500000001,140.397296,Asia,3982
0,Afghanistan,1991,Qtr 3,August,8,65,34.499112,69.886222,Asia,1991
0,Afghanistan,1991,Qtr 3,August,16,50,110.16667000000001,210.5,Asia,5973
0,Afghanistan,1991,Qtr 3,August,17,50,36.734133,69.533559,Asia,1991
3,Afghanistan,1991,Qtr 3,September,15,3,34.531094,69.162796,Asia,1991
0,Afghanistan,1991,Qtr 3,September,18,13,33.589794,69.232445,Asia,1991
0,Afghanistan,1991,Qtr 3,September,27,31,33.589794,69.232445,Asia,1991
3,Afghanistan,1991,Qtr 3,September,28,3,34.531094,69.162796,Asia,1991
0,Afghanistan,1991,Qtr 3,September,30,1,33.589794,69.232445,Asia,1991
0,Afghanistan,1991,Qtr 4,October,4,3,33.589794,69.232445,Asia,1991
3,Afghanistan,1991,Qtr 4,October,5,3,33.589794,69.232445,Asia,1991
0,Afghanistan,1991,Qtr 4,October,7,3,33.666667,69.33333,Asia,1991
0,Afghanistan,1991,Qtr 4,October,8,66,68.12088800000001,138.395241,Asia,3982
0,Afghanistan,1991,Qtr 4,October,10,80,32.10368,66.905121,Asia,1991
0,Afghanistan,1991,Qtr 4,October,11,1,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 4,October,12,17,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 4,October,16,5,34.663769,70.20739,Asia,1991
3,Afghanistan,1991,Qtr 4,October,18,18,69.327538,140.41478,Asia,3982
0,Afghanistan,1991,Qtr 4,October,19,5,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 4,October,20,6,68.99709899999999,140.62406,Asia,3982
0,Afghanistan,1991,Qtr 4,October,23,1,34.531094,69.162796,Asia,1991
0,Afghanistan,1991,Qtr 4,November,2,70,33.666667,69.33333,Asia,1991
5,Afghanistan,1991,Qtr 4,November,3,5,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 4,November,12,200,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 4,November,27,4,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 4,December,5,4,34.428844,70.45575,Asia,1991
0,Afghanistan,1991,Qtr 4,December,18,1,33.666667,69.33333,Asia,1991
0,Afghanistan,1991,Qtr 4,December,27,18,68.778835,132.655751,Asia,3982
2,Afghanistan,1992,Qtr 1,February,26,4,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 1,February,29,31,34.531094,69.162796,Asia,1992
3,Afghanistan,1992,Qtr 1,March,31,5,99.70730599999999,205.494875,Asia,5976
0,Afghanistan,1992,Qtr 2,April,2,6,33.589794,69.232445,Asia,1992
0,Afghanistan,1992,Qtr 2,April,18,20,34.349991,62.200001,Asia,1992
0,Afghanistan,1992,Qtr 2,April,21,2,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 2,April,22,0,34.531094,69.162796,Asia,1992
700,Afghanistan,1992,Qtr 2,April,25,704,69.062188,138.325592,Asia,3984
0,Afghanistan,1992,Qtr 2,April,26,66,103.59328200000002,207.488388,Asia,5976
0,Afghanistan,1992,Qtr 2,April,28,1,34.564444,69.217222,Asia,1992
0,Afghanistan,1992,Qtr 2,May,4,30,69.062188,138.325592,Asia,3984
0,Afghanistan,1992,Qtr 2,May,5,40,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 2,May,21,1,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 2,May,24,18,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 2,May,31,5,69.062188,138.325592,Asia,3984
3,Afghanistan,1992,Qtr 2,June,1,5,103.59328200000002,207.488388,Asia,5976
97,Afghanistan,1992,Qtr 2,June,2,128,103.59328200000002,207.488388,Asia,5976
3,Afghanistan,1992,Qtr 2,June,5,3,34.531094,69.162796,Asia,1992
1,Afghanistan,1992,Qtr 2,June,23,1,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 2,June,24,45,69.062188,138.325592,Asia,3984
0,Afghanistan,1992,Qtr 3,July,2,1,34.531094,69.162796,Asia,1992
1,Afghanistan,1992,Qtr 3,July,4,100,69.062188,138.325592,Asia,3984
0,Afghanistan,1992,Qtr 3,July,19,60,34.531094,69.162796,Asia,1992
1,Afghanistan,1992,Qtr 3,August,1,3,34.564444,69.217222,Asia,1992
0,Afghanistan,1992,Qtr 3,August,2,14,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 3,August,4,35,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 3,August,6,9,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 3,August,8,35,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 3,August,9,11,34.531094,69.162796,Asia,1992
766,Afghanistan,1992,Qtr 3,August,10,2186,172.65547,345.81398,Asia,9960
80,Afghanistan,1992,Qtr 3,August,13,150,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 3,August,15,57,34.531094,69.162796,Asia,1992
24,Afghanistan,1992,Qtr 3,August,19,94,69.01449400000001,138.379596,Asia,3984
0,Afghanistan,1992,Qtr 3,August,21,27,70.475677,137.877918,Asia,3984
0,Afghanistan,1992,Qtr 3,August,23,24,69.062188,138.325592,Asia,3984
0,Afghanistan,1992,Qtr 3,August,24,20,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 3,August,28,29,34.531094,69.162796,Asia,1992
0,Afghanistan,1992,Qtr 3,September,1,30,139.287173,269.081301,Asia,7968
6,Afghanistan,1992,Qtr 3,September,11,9,33.390811,62.258835,Asia,1992
0,Afghanistan,1992,Qtr 3,September,12,20,35.75,69,Asia,1992
0,Afghanistan,1992,Qtr 3,September,18,8,69.062188,138.325592,Asia,3984
0,Afghanistan,1992,Qtr 4,October,2,150,34.349991,62.200001,Asia,1992
0,Afghanistan,1992,Qtr 4,December,5,100,103.59328200000002,207.488388,Asia,5976
0,Afghanistan,1993,Qtr 1,January,2,26,103.59328200000002,207.488388,Asia,5979
0,Afghanistan,1993,Qtr 1,January,6,1,34.531094,69.162796,Asia,1993
3,Afghanistan,1993,Qtr 1,January,8,3,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,January,19,1099,240.18656399999998,479.976776,Asia,13951
0,Afghanistan,1993,Qtr 1,January,23,6,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,January,25,20,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,January,26,6,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,January,27,16,68.948919,138.335692,Asia,3986
0,Afghanistan,1993,Qtr 1,January,30,2,69.062188,138.325592,Asia,3986
0,Afghanistan,1993,Qtr 1,January,31,1,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,February,2,72,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,February,3,14,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,February,4,30,69.062188,138.325592,Asia,3986
0,Afghanistan,1993,Qtr 1,February,6,12,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,February,8,54,34.531094,69.162796,Asia,1993
26,Afghanistan,1993,Qtr 1,February,11,204,103.59328200000002,207.488388,Asia,5979
13,Afghanistan,1993,Qtr 1,February,12,78,138.124376,276.651184,Asia,7972
3,Afghanistan,1993,Qtr 1,February,18,5,34.531094,69.162796,Asia,1993
62,Afghanistan,1993,Qtr 1,February,28,62,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 1,March,5,1,34.531094,69.162796,Asia,1993
3,Afghanistan,1993,Qtr 1,March,8,7,71.231161,136.279443,Asia,3986
0,Afghanistan,1993,Qtr 1,March,9,22,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,April,13,31,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,April,16,3,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,April,18,3,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,May,6,24,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,May,7,5,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,May,12,850,172.65547,345.81398,Asia,9965
0,Afghanistan,1993,Qtr 2,May,13,54,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,May,16,33,69.062188,138.325592,Asia,3986
0,Afghanistan,1993,Qtr 2,May,18,34,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,May,19,13,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,May,21,16,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,May,29,3,34.548073,68.936374,Asia,1993
0,Afghanistan,1993,Qtr 2,May,30,2,34.531094,69.162796,Asia,1993
2,Afghanistan,1993,Qtr 2,June,9,2,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,June,11,5,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,June,12,3,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,June,14,4,34.531094,69.162796,Asia,1993
1,Afghanistan,1993,Qtr 2,June,15,5,69.062188,138.325592,Asia,3986
0,Afghanistan,1993,Qtr 2,June,25,15,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,June,26,4,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 2,June,27,13,34.531094,69.162796,Asia,1993
2,Afghanistan,1993,Qtr 3,July,1,2,34.531094,69.162796,Asia,1993
2,Afghanistan,1993,Qtr 3,July,2,2,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,July,3,1,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,July,5,5,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,July,6,5,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,July,9,2,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,July,17,5,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,August,7,6,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,August,10,2,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,August,18,3,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,August,22,170,63.3072,131.300964,Asia,3986
0,Afghanistan,1993,Qtr 3,August,26,90,31.6536,65.650482,Asia,1993
0,Afghanistan,1993,Qtr 3,August,28,1,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,September,14,1,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 3,September,22,16,69.049455,138.214187,Asia,3986
0,Afghanistan,1993,Qtr 3,September,26,55,35.734207,63.785556,Asia,1993
0,Afghanistan,1993,Qtr 3,September,29,3,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 4,October,5,13,69.062188,138.325592,Asia,3986
0,Afghanistan,1993,Qtr 4,October,10,20,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 4,October,11,113,69.17923,139.520094,Asia,3986
0,Afghanistan,1993,Qtr 4,October,22,22,34.531094,69.162796,Asia,1993
140,Afghanistan,1993,Qtr 4,November,1,210,69.58228,139.320888,Asia,3986
0,Afghanistan,1993,Qtr 4,November,2,2,34.854229,69.647499,Asia,1993
0,Afghanistan,1993,Qtr 4,November,4,1,34.79114,69.660444,Asia,1993
0,Afghanistan,1993,Qtr 4,November,12,26,37.1881,68.6016,Asia,1993
0,Afghanistan,1993,Qtr 4,November,13,60,34.589615,69.760047,Asia,1993
0,Afghanistan,1993,Qtr 4,November,15,6,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 4,November,28,1,34.797169,69.67923,Asia,1993
0,Afghanistan,1993,Qtr 4,December,1,2,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 4,December,22,4,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 4,December,25,3,34.531094,69.162796,Asia,1993
0,Afghanistan,1993,Qtr 4,December,26,2,34.531094,69.162796,Asia,1993
4,Afghanistan,1993,Qtr 4,December,29,4,34.531094,69.162796,Asia,1993
0,Afghanistan,1994,Qtr 1,January,1,5920,345.31094,691.62796,Asia,19940
0,Afghanistan,1994,Qtr 1,January,3,54,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,January,4,0,36.265488,68.016388,Asia,1994
0,Afghanistan,1994,Qtr 1,January,9,16,69.062188,138.325592,Asia,3988
0,Afghanistan,1994,Qtr 1,January,12,3,36.304873,66.861089,Asia,1994
0,Afghanistan,1994,Qtr 1,January,13,5,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,January,15,20,69.062188,138.325592,Asia,3988
0,Afghanistan,1994,Qtr 1,January,16,13,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,January,17,5,144.36442399999999,266.829456,Asia,7976
0,Afghanistan,1994,Qtr 1,January,21,70,34.3995,69.1646,Asia,1994
0,Afghanistan,1994,Qtr 1,January,23,65,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,January,24,6,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,January,25,24,142.091798,273.206973,Asia,7976
0,Afghanistan,1994,Qtr 1,January,28,0,36.83333,65.83333,Asia,1994
0,Afghanistan,1994,Qtr 1,January,29,1,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,January,30,1,35.321669,69.025361,Asia,1994
0,Afghanistan,1994,Qtr 1,January,31,63,69.062188,138.325592,Asia,3988
3,Afghanistan,1994,Qtr 1,February,2,3,71.198661,134.9157,Asia,3988
0,Afghanistan,1994,Qtr 1,February,3,2,36.25,64.83333,Asia,1994
0,Afghanistan,1994,Qtr 1,February,4,2,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,February,5,24,36.700067,67.116647,Asia,1994
0,Afghanistan,1994,Qtr 1,February,6,12,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,February,9,5,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,February,13,0,35.944583,68.715122,Asia,1994
0,Afghanistan,1994,Qtr 1,February,16,121,103.59328200000002,207.488388,Asia,5982
0,Afghanistan,1994,Qtr 1,February,20,2,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,February,23,6,71.364424,134.996126,Asia,3988
0,Afghanistan,1994,Qtr 1,February,24,16,71.281094,137.912796,Asia,3988
0,Afghanistan,1994,Qtr 1,February,26,15,34.531094,69.162796,Asia,1994
15,Afghanistan,1994,Qtr 1,February,27,52,36.726131,68.865189,Asia,1994
0,Afghanistan,1994,Qtr 1,March,2,24,34.7065,70.1579,Asia,1994
0,Afghanistan,1994,Qtr 1,March,7,18,105.788319,207.190781,Asia,5982
0,Afghanistan,1994,Qtr 1,March,8,18,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,March,9,40,35.75,69,Asia,1994
0,Afghanistan,1994,Qtr 1,March,12,53,70.17246,133.441877,Asia,3988
0,Afghanistan,1994,Qtr 1,March,18,4,36.037813,68.772361,Asia,1994
0,Afghanistan,1994,Qtr 1,March,19,2,71.231161,136.279443,Asia,3988
0,Afghanistan,1994,Qtr 1,March,24,24,106.53762800000001,205.756462,Asia,5982
0,Afghanistan,1994,Qtr 1,March,25,28,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 1,March,27,10,36.75,67,Asia,1994
0,Afghanistan,1994,Qtr 1,March,31,2,34.531094,69.162796,Asia,1994
0,Afghanistan,1994,Qtr 2,April,1,8,34.79114,69.660444,Asia,1994
